location,size,total_sqft,bath,price,bhk,price_per_sqft
"Sector 1, Block F, Aftab Nagar, Dhaka",5 Bedroom,1200.0,4.0,150.0,5,12500.0
"Senpara Parbata, Section 10, Mirpur, Dhaka",2 BHK,1465.0,3.0,90.0,2,6143.344709897611
"Block H, Bashundhara R-A, Dhaka",3 BHK,20000.0,3.0,175.0,3,875.0
"Rupnagar R/A, Mirpur, Dhaka",2 BHK,1128.0,2.0,64.0,2,5673.758865248227
"South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1250.0,2.0,70.0,3,5600.0
"South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1645.0,3.0,117.0,3,7112.462006079028
"South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1284.0,2.0,75.0,3,5841.121495327103
"Block A, Section 12, Mirpur, Dhaka",3 BHK,2600.0,3.0,199.0,3,7653.846153846154
"Block A, Section 12, Mirpur, Dhaka",3 BHK,1820.0,3.0,150.0,3,8241.758241758242
"South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1580.0,3.0,73.0,3,4620.2531645569625
"Block G, Bashundhara R-A, Dhaka",3 Bedroom,2650.0,3.0,125.0,3,4716.981132075472
"West Kalachandpur, Kalachandpur, Dhaka",2 BHK,1215.0,2.0,68.0,2,5596.707818930041
"West Kalachandpur, Kalachandpur, Dhaka",2 BHK,1075.0,2.0,40.0,2,3720.9302325581393
"West Kalachandpur, Kalachandpur, Dhaka",3 BHK,1400.0,2.0,78.0,3,5571.428571428572
"Block A, Section 12, Mirpur, Dhaka",3 BHK,1400.0,2.0,55.0,3,3928.5714285714284
"East Monipur, Mirpur, Dhaka",2 BHK,845.0,2.0,30.0,2,3550.2958579881656
"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",4 BHK,2600.0,4.0,40.0,4,1538.4615384615386
"South Monipur, Mirpur, Dhaka",4 Bedroom,3854.5,6.0,385.5,4,10001.297185108315
"Kallyanpur, Mirpur, Dhaka",2 BHK,800.0,2.0,85.0,2,10625.0
"Shegunbagicha, Dhaka",2 BHK,1199.0,2.0,85.0,2,7089.241034195163
"Kallyanpur, Mirpur, Dhaka",2 BHK,1175.0,2.0,43.48,2,3700.425531914894
"Sector 1, Block F, Aftab Nagar, Dhaka",3 Bedroom,2400.0,3.0,270.0,3,11250.0
"Avenue 11, Mirpur DOHS, Mirpur, Dhaka",3 BHK,1767.0,3.0,109.0,3,6168.647425014148
"Rupnagar R/A, Mirpur, Dhaka",4 BHK,1800.0,3.0,90.0,4,5000.0
"Rupnagar R/A, Mirpur, Dhaka",3 BHK,1856.0,3.0,135.0,3,7273.706896551724
"Block A, Section 12, Mirpur, Dhaka",3 Bedroom,1200.0,3.0,140.0,3,11666.666666666666
"Block A, Section 12, Mirpur, Dhaka",3 BHK,1613.0,3.0,150.0,3,9299.442033477992
"Block C, Section 10, Mirpur, Dhaka",4 BHK,6830.0,5.0,795.0,4,11639.824304538799
"Block C, Section 10, Mirpur, Dhaka",2 BHK,1290.0,2.0,90.0,2,6976.7441860465115
"Block C, Section 10, Mirpur, Dhaka",2 BHK,1375.0,2.0,78.0,2,5672.727272727273
"South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,985.0,2.0,57.0,2,5786.802030456853
"Kallyanpur, Mirpur, Dhaka",4 Bedroom,1200.0,4.0,200.0,4,16666.666666666668
"Kallyanpur, Mirpur, Dhaka",2 BHK,1099.0,2.0,37.5,2,3412.1929026387625
"South Pirerbag, Pirerbag, Mirpur, Dhaka",1 BHK,605.0,1.0,13.31,1,2200.0
"Block D, Section 10, Mirpur, Dhaka",11 BHK,6000.0,12.0,150.0,11,2500.0
"Block A, Section 12, Mirpur, Dhaka",7 Bedroom,3600.0,7.0,160.0,7,4444.444444444444
"Block B, Chandrima Model Town, Mohammadpur, Dhaka",2 BHK,1200.0,2.0,53.0,2,4416.666666666667
"South Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,1000.0,2.0,45.0,2,4500.0
"Road No 12, Block B, Section 11, Mirpur, Dhaka",3 BHK,1159.0,2.0,38.0,3,3278.688524590164
"Block C, Section 10, Mirpur, Dhaka",5 BHK,3692.0,5.0,340.0,5,9209.100758396533
"Road No 12, Block B, Section 11, Mirpur, Dhaka",2 Bedroom,600.0,2.0,80.0,2,13333.333333333334
"Road No 12, Block B, Section 11, Mirpur, Dhaka",4 Bedroom,2400.0,4.0,600.0,4,25000.0
"Sector 1, Block F, Aftab Nagar, Dhaka",3 BHK,1540.0,2.0,78.0,3,5064.935064935065
"Sector 1, Block F, Aftab Nagar, Dhaka",3 BHK,1503.0,2.0,93.0,3,6187.624750499002
"Badda, Dhaka",3 BHK,1850.0,4.0,120.0,3,6486.486486486487
"Block D, Section 15, Mirpur, Dhaka",3 BHK,1580.0,3.0,60.0,3,3797.46835443038
"West Nandipara, Khilgaon, Dhaka",2 BHK,1190.0,2.0,39.25,2,3298.3193277310925
"West Nandipara, Khilgaon, Dhaka",2 Bedroom,1200.0,2.0,61.0,2,5083.333333333333
"Block D, Section 15, Mirpur, Dhaka",7 Bedroom,1000.0,7.0,250.0,7,25000.0
"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,850.0,1.0,19.9,2,2341.176470588235
"West Shewrapara, Mirpur, Dhaka",3 BHK,2180.0,3.0,285.0,3,13073.394495412844
"Block H, Bashundhara R-A, Dhaka",3 BHK,2500.0,2.0,60.0,3,2400.0
"Shah Ali Bag, Section 1, Mirpur, Dhaka",3 Bedroom,1200.0,3.0,56.12,3,4676.666666666667
"Shah Ali Bag, Section 1, Mirpur, Dhaka",3 BHK,1500.0,2.0,52.0,3,3466.6666666666665
"Section 12, Mirpur, Dhaka",5 Bedroom,1200.0,3.0,180.0,5,15000.0
"Joar Sahara, Dhaka",3 BHK,1880.0,3.0,120.0,3,6382.978723404255
"Joar Sahara, Dhaka",2 BHK,1150.0,2.0,45.0,2,3913.0434782608695
"Sayednagar, East Vatara, Vatara, Badda, Dhaka",4 Bedroom,4408.0,4.0,344.0,4,7803.992740471869
"Block B, Section 10, Mirpur, Dhaka",2 BHK,924.0,2.0,35.11,2,3799.78354978355
"Rampura, Dhaka",5 BHK,7800.0,6.0,385.0,5,4935.897435897436
"Block B, Section 10, Mirpur, Dhaka",6 Bedroom,600.0,6.0,100.0,6,16666.666666666668
"New Eskaton, Eskaton, Dhaka",4 Bedroom,750.0,4.0,95.0,4,12666.666666666666
"Banasree, Dhaka",3 Bedroom,1962.0,3.0,175.0,3,8919.469928644241
"Ibrahimpur, Dhaka",5 Bedroom,1200.0,4.0,240.0,5,20000.0
"Sector 4, Uttara, Dhaka",3 BHK,1765.0,3.0,77.27,3,4377.903682719547
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",2 BHK,1174.0,2.0,29.35,2,2500.0
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",3 BHK,1894.0,3.0,115.0,3,6071.805702217529
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",4 Bedroom,960.0,2.0,138.0,4,14375.0
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",3 BHK,1760.0,3.0,142.0,3,8068.181818181818
"Ibrahimpur, Dhaka",3 BHK,1768.0,3.0,95.0,3,5373.303167420814
"West Monipur, Mirpur, Dhaka",3 BHK,1790.0,3.0,97.0,3,5418.994413407821
"Badda, Dhaka",4 Bedroom,3500.0,5.0,800.0,4,22857.14285714286
"Badda, Dhaka",2 Bedroom,1200.0,2.0,45.0,2,3750.0
"Tajmahal Road, Mohammadpur, Dhaka",4 Bedroom,2540.0,4.0,160.0,4,6299.212598425197
"Eskaton, Dhaka",2 BHK,1137.0,2.0,53.4,2,4696.5699208443275
"Lalbagh, Dhaka",7 Bedroom,1200.0,6.0,115.0,7,9583.333333333334
"Kathalbagan, Dhaka",3 BHK,1568.0,2.0,100.0,3,6377.551020408163
"Block A, Section 10, Mirpur, Dhaka",4 Bedroom,4920.0,4.0,393.5,4,7997.967479674797
"Ahmed Nagar, Mirpur, Dhaka",2 BHK,1308.0,2.0,60.0,2,4587.155963302752
"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",4 BHK,3060.0,4.0,350.0,4,11437.908496732027
"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1200.0,2.0,41.0,3,3416.6666666666665
"Senpara Parbata, Section 10, Mirpur, Dhaka",1 BHK,800.0,1.0,32.0,1,4000.0
"Hatirpool, Dhaka",1 BHK,530.0,1.0,13.5,1,2547.169811320755
"Nayatola, Maghbazar, Dhaka",3 BHK,873.0,2.0,40.0,3,4581.901489117984
"Rampura, Dhaka",7 Bedroom,3000.0,6.0,145.0,7,4833.333333333333
"Rampura, Dhaka",4 Bedroom,1200.0,4.0,235.0,4,19583.333333333332
"Madhya Ajampur, Dakshin Khan, Dhaka",2 BHK,958.0,2.0,33.53,2,3500.0
"West Agargaon, Agargaon, Dhaka",3 BHK,2072.0,4.0,160.0,3,7722.007722007722
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",3 BHK,2273.0,3.0,159.0,3,6995.160580730312
"Kallyanpur, Mirpur, Dhaka",3 Bedroom,600.0,3.0,90.0,3,15000.0
"Baitul Aman Housing Society, Adabor, Dhaka",1 BHK,760.0,1.0,50.0,1,6578.9473684210525
"Bashabo, Dhaka",2 BHK,1090.0,2.0,43.5,2,3990.8256880733943
"Ibrahimpur, Dhaka",3 BHK,2072.0,4.0,155.0,3,7480.694980694981
"New Eskaton, Eskaton, Dhaka",3 BHK,2666.0,3.0,230.0,3,8627.156789197299
"Block K, Bashundhara R-A, Dhaka",3 BHK,1550.0,2.0,89.0,3,5741.935483870968
"Block K, Bashundhara R-A, Dhaka",2 BHK,1251.0,2.0,50.0,2,3996.802557953637
"Taltola, Agargaon, Dhaka",2 BHK,1070.0,2.0,53.0,2,4953.271028037383
"Mirpur, Dhaka",2 BHK,1200.0,2.0,45.0,2,3750.0
"Rajabazar, Tejgaon, Dhaka",3 BHK,1435.0,2.0,60.0,3,4181.184668989547
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 BHK,1400.0,2.0,45.0,3,3214.285714285714
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",4 BHK,2330.0,3.0,94.71,4,4064.8068669527897
"Sector 1, Block F, Aftab Nagar, Dhaka",2 BHK,1200.0,2.0,60.0,2,5000.0
"Sector 1, Block F, Aftab Nagar, Dhaka",2 BHK,1000.0,2.0,40.0,2,4000.0
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",3 BHK,1655.0,2.0,62.89,3,3800.0
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",9 Bedroom,3600.0,9.0,240.0,9,6666.666666666667
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",1 Bedroom,600.0,1.0,35.0,1,5833.333333333333
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",2 BHK,1175.0,2.0,50.0,2,4255.31914893617
"Road No 12, Block B, Section 11, Mirpur, Dhaka",2 BHK,1155.0,2.0,40.43,2,3500.4329004329006
"Kafrul, Dhaka",3 Bedroom,1200.0,3.0,98.0,3,8166.666666666667
"Suchona Model Town, Bochila, Mohammadpur, Dhaka",2 BHK,1149.0,2.0,65.0,2,5657.093124456049
"Sector 1, Block F, Aftab Nagar, Dhaka",4 Bedroom,3200.0,4.0,375.0,4,11718.75
"Sector 1, Block F, Aftab Nagar, Dhaka",2 BHK,1010.0,2.0,55.0,2,5445.544554455446
"Sector 1, Block F, Aftab Nagar, Dhaka",3 BHK,1718.0,3.0,119.0,3,6926.6589057043075
"Sector 1, Block F, Aftab Nagar, Dhaka",2 BHK,650.0,1.0,20.0,2,3076.923076923077
"Sector 1, Block F, Aftab Nagar, Dhaka",2 BHK,1330.0,2.0,77.0,2,5789.473684210527
"Sector 1, Block F, Aftab Nagar, Dhaka",2 BHK,1200.0,2.0,68.0,2,5666.666666666667
"Sector 1, Block F, Aftab Nagar, Dhaka",3 BHK,1693.0,3.0,89.0,3,5256.940342587123
"Block TA, Section 6, Mirpur, Dhaka",2 BHK,1249.0,2.0,165.0,2,13210.56845476381
"Dakkhin Paikpara, Mirpur, Dhaka",3 BHK,1800.0,4.0,125.0,3,6944.444444444444
"Faydabad, Dakshin Khan, Dhaka",2 Bedroom,900.0,2.0,55.0,2,6111.111111111111
"Tilpapara, Khilgaon, Dhaka",2 BHK,1020.0,2.0,46.0,2,4509.803921568628
"Darussalam, Mirpur, Dhaka",3 BHK,1700.0,3.0,77.0,3,4529.411764705882
"West Kalachandpur, Kalachandpur, Dhaka",1 BHK,661.0,1.0,40.0,1,6051.437216338881
"Block L, Bashundhara R-A, Dhaka",2 BHK,1280.0,2.0,60.16,2,4700.0
"West Monipur, Mirpur, Dhaka",5 Bedroom,1000.0,4.0,90.0,5,9000.0
"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",2 BHK,1170.0,2.0,48.0,2,4102.5641025641025
"Goran, Khilgaon, Dhaka",1 BHK,933.0,2.0,58.0,1,6216.505894962486
"Block G, Bashundhara R-A, Dhaka",2 BHK,1150.0,2.0,44.0,2,3826.086956521739
"Sector 14, Uttara, Dhaka",4 BHK,3633.0,6.0,550.0,4,15139.003578309937
"Swapnodhara Housing, Bochila, Mohammadpur, Dhaka",3 BHK,1380.0,3.0,130.0,3,9420.289855072464
"Block C, Section 10, Mirpur, Dhaka",2 Bedroom,1050.0,2.0,64.8,2,6171.428571428572
"Block A, Section 12, Mirpur, Dhaka",2 BHK,1080.0,2.0,37.8,2,3499.9999999999995
"Block C, Section 10, Mirpur, Dhaka",2 BHK,1303.0,2.0,90.0,2,6907.137375287797
"Kafrul, Dhaka",2 BHK,1196.0,2.0,40.54,2,3389.632107023411
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",5 Bedroom,2500.0,3.0,180.0,5,7200.0
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",5 Bedroom,1200.0,4.0,95.0,5,7916.666666666667
"Block C, Section 10, Mirpur, Dhaka",3 BHK,1250.0,3.0,41.0,3,3280.0
"Block C, Section 10, Mirpur, Dhaka",3 BHK,1419.0,2.0,87.0,3,6131.0782241014795
"Block C, Section 10, Mirpur, Dhaka",2 BHK,1200.0,2.0,49.0,2,4083.3333333333335
"Block A, Section 12, Mirpur, Dhaka",2 BHK,1120.0,2.0,65.0,2,5803.571428571428
"Block A, Section 12, Mirpur, Dhaka",1 BHK,762.5,1.0,45.4,1,5954.098360655737
"Block I, Bashundhara R-A, Dhaka",2 BHK,1245.0,2.0,75.0,2,6024.096385542169
"Section 12, Mirpur, Dhaka",4 Bedroom,3978.0,4.0,428.0,4,10759.175465057819
"Section 12, Mirpur, Dhaka",2 BHK,1093.0,2.0,34.0,2,3110.704483074108
"Section 12, Mirpur, Dhaka",2 BHK,1025.0,1.0,26.63,2,2598.048780487805
"Section 12, Mirpur, Dhaka",2 BHK,1345.0,2.0,97.0,2,7211.8959107806695
"Section 12, Mirpur, Dhaka",2 Bedroom,1500.0,2.0,45.0,2,3000.0
"Mohammadpur, Dhaka",2 BHK,1180.0,2.0,86.0,2,7288.135593220339
"Faydabad, Dakshin Khan, Dhaka",2 BHK,1020.0,2.0,48.45,2,4750.0
"Faydabad, Dakshin Khan, Dhaka",3 BHK,1800.0,3.0,85.0,3,4722.222222222223
"Block C, Dhaka Uddan, Mohammadpur, Dhaka",4 BHK,3621.0,4.0,511.0,4,14112.123722728527
"Mohammadi Housing LTD., Mohammadpur, Dhaka",3 BHK,2008.0,3.0,170.0,3,8466.135458167331
"Pirerbag, Mirpur, Dhaka",3 BHK,1240.0,2.0,39.85,3,3213.7096774193546
"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,1020.0,2.0,55.0,2,5392.156862745098
"Sector 10, Uttara, Dhaka",3 BHK,2095.0,3.0,142.0,3,6778.042959427207
"Shahjahanpur, Dhaka",3 BHK,1362.0,3.0,62.63,3,4598.384728340676
"Shahjahanpur, Dhaka",1 BHK,694.0,1.0,30.84,1,4443.804034582133
"Shahjahanpur, Dhaka",2 BHK,1404.0,2.0,70.0,2,4985.754985754986
"Block C, Section 6, Mirpur, Dhaka",3 BHK,1192.0,2.0,47.0,3,3942.953020134228
"Block B, Dhaka Uddan, Mohammadpur, Dhaka",8 Bedroom,1850.0,12.0,300.0,8,16216.216216216217
"Sector 10, Uttara, Dhaka",4 Bedroom,1050.0,1.0,35.0,4,3333.3333333333335
"Sector 11, Uttara, Dhaka",2 BHK,1259.0,2.0,67.48,2,5359.809372517871
"Tejgaon, Dhaka",2 BHK,1000.0,2.0,34.0,2,3400.0
"Malibagh, Dhaka",2 BHK,985.0,2.0,49.97,2,5073.096446700508
"South Bishil, Section 1, Mirpur, Dhaka",1 BHK,850.0,1.0,60.0,1,7058.823529411765
"Middle Badda, Badda, Dhaka",3 BHK,1650.0,2.0,50.0,3,3030.3030303030305
"Block F, Section 11, Mirpur, Dhaka",5 Bedroom,2400.0,3.0,320.0,5,13333.333333333334
"Dhanmondi, Dhaka",3 BHK,1900.0,4.0,180.0,3,9473.684210526315
"Amligola, Lalbagh, Dhaka",2 BHK,1367.0,2.0,86.0,2,6291.148500365764
"Block H, Banasree, Dhaka",3 BHK,1210.0,2.0,81.0,3,6694.214876033057
"Gulbag, Malibagh, Dhaka",2 BHK,1190.0,2.0,48.6,2,4084.0336134453783
"Kalabagan, Dhaka",2 BHK,1175.0,2.0,42.0,2,3574.468085106383
"Block B, Aftab Nagar, Dhaka",4 BHK,2800.0,4.0,400.0,4,14285.714285714286
"Block D, Section 10, Mirpur, Dhaka",2 BHK,1140.0,2.0,40.0,2,3508.7719298245615
"Block D, Section 10, Mirpur, Dhaka",2 BHK,1095.0,2.0,33.6,2,3068.4931506849316
"Block C, Section 10, Mirpur, Dhaka",1 BHK,782.0,1.0,19.55,1,2500.0
"Rupnagar R/A, Mirpur, Dhaka",3 BHK,1435.0,2.0,80.0,3,5574.912891986062
"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,725.0,2.0,36.0,2,4965.517241379311
"Block B, Chandrima Model Town, Mohammadpur, Dhaka",3 BHK,1600.0,2.0,88.0,3,5500.0
"West Kalachandpur, Kalachandpur, Dhaka",5 Bedroom,1200.0,5.0,160.0,5,13333.333333333334
"West Kalachandpur, Kalachandpur, Dhaka",4 BHK,3205.0,4.0,300.0,4,9360.374414976599
"Kafrul, Dhaka",4 Bedroom,720.0,3.0,95.0,4,13194.444444444445
"West Kalachandpur, Kalachandpur, Dhaka",3 BHK,1674.0,3.0,90.0,3,5376.344086021505
"West Kalachandpur, Kalachandpur, Dhaka",4 Bedroom,860.0,4.0,125.0,4,14534.883720930233
"East Monipur, Mirpur, Dhaka",2 BHK,1243.0,2.0,46.0,2,3700.7240547063557
"Block C, Section 10, Mirpur, Dhaka",3 BHK,1703.0,3.0,130.0,3,7633.587786259542
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",3 BHK,1350.0,3.0,71.55,3,5300.0
"West Kalachandpur, Kalachandpur, Dhaka",2 BHK,1145.0,2.0,41.21,2,3599.126637554585
"West Kalachandpur, Kalachandpur, Dhaka",2 BHK,1216.0,2.0,75.0,2,6167.763157894737
"Section 12, Mirpur, Dhaka",2 BHK,1100.0,3.0,60.0,2,5454.545454545455
"Section 12, Mirpur, Dhaka",4 BHK,2425.0,5.0,201.0,4,8288.659793814433
"New Market, Dhaka",4 Bedroom,2700.0,4.0,175.0,4,6481.481481481482
"New Market, Dhaka",2 BHK,1196.0,2.0,40.54,2,3389.632107023411
"Block A, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",3 BHK,1600.0,3.0,90.0,3,5625.0
"Block A, Arifabad Housing Society, Pallabi, Mirpur, Dhaka",3 BHK,1510.0,3.0,47.57,3,3150.3311258278145
"Khilgaon, Dhaka",4 BHK,3033.0,4.0,326.0,4,10748.433893834488
"Block F, Bashundhara R-A, Dhaka",2 Bedroom,780.0,2.0,72.0,2,9230.76923076923
"Sector 14, Uttara, Dhaka",2 BHK,1194.0,2.0,47.0,2,3936.348408710218
"Block A, Bashundhara R-A, Dhaka",2 BHK,1250.0,2.0,110.0,2,8800.0
"Tajmahal Road, Mohammadpur, Dhaka",5 Bedroom,1480.0,4.0,169.0,5,11418.918918918918
"Eastern Pallabi, Pallabi, Mirpur, Dhaka",4 Bedroom,1250.0,4.0,100.0,4,8000.0
"Block I, Bashundhara R-A, Dhaka",4 Bedroom,1350.0,4.0,160.0,4,11851.851851851852
"Sector 14, Uttara, Dhaka",1 Bedroom,620.0,2.0,48.0,1,7741.935483870968
"Block E, Section 12, Mirpur, Dhaka",3 BHK,1630.0,3.0,60.65,3,3720.8588957055213
"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,1020.0,2.0,45.0,2,4411.764705882353
"Kallyanpur, Mirpur, Dhaka",3 BHK,1410.0,2.0,53.58,3,3800.0
"Sector 5, Uttara, Dhaka",2 BHK,1181.7,2.0,100.0,2,8462.384700008462
"Tajmahal Road, Mohammadpur, Dhaka",9 Bedroom,1200.0,8.0,270.0,9,22500.0
"Sector 10, Uttara, Dhaka",3 BHK,1691.0,3.0,113.0,3,6682.436428149024
"Sector 13, Uttara, Dhaka",4 Bedroom,1200.0,4.0,83.0,4,6916.666666666667
"RK Mission Road, Gopibag, Motijheel, Dhaka",2 BHK,1200.0,2.0,60.0,2,5000.0
"Shahjahanpur, Dhaka",2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
"Block D, Bashundhara R-A, Dhaka",3 BHK,1300.0,3.0,77.99,3,5999.230769230769
"North Kamlapur, Kamlapur, Motijheel, Dhaka",2 BHK,1356.0,2.0,94.84,2,6994.100294985251
"Shantinagar, Dhaka",2 BHK,1338.0,2.0,103.0,2,7698.056801195815
"Block B, Mansurabad Housing Society, Adabor, Dhaka",1 BHK,500.0,1.0,20.0,1,4000.0
"Faydabad, Dakshin Khan, Dhaka",3 BHK,1280.0,2.0,100.0,3,7812.5
"Sector 13, Uttara, Dhaka",3 BHK,1531.0,3.0,51.77,3,3381.4500326583934
"Shahjahanpur, Dhaka",4 BHK,11000.0,4.0,1600.0,4,14545.454545454546
"Shahjahanpur, Dhaka",2 BHK,620.0,1.0,23.5,2,3790.3225806451615
"North Shahjahanpur, Shahjahanpur, Dhaka",3 BHK,1605.0,2.0,65.0,3,4049.8442367601247
"Shahjahanpur, Dhaka",3 BHK,1917.0,3.0,110.0,3,5738.132498695879
"Ibrahimpur, Dhaka",4 Bedroom,1200.0,3.0,340.0,4,28333.333333333332
"Badda, Dhaka",3 BHK,2750.0,3.0,943.0,3,34290.90909090909
"Malibagh, Dhaka",3 BHK,1400.0,3.0,55.0,3,3928.5714285714284
"Block J, Bashundhara R-A, Dhaka",3 BHK,2625.0,3.0,175.0,3,6666.666666666667
"North Goran, Goran, Khilgaon, Dhaka",2 BHK,1100.0,2.0,55.0,2,5000.0
"Ibrahimpur, Dhaka",3 BHK,2041.0,3.0,128.0,3,6271.435570798628
"Kafrul, Dhaka",3 BHK,2070.0,4.0,160.0,3,7729.468599033817
"Shahjahanpur, Dhaka",3 BHK,1110.0,3.0,59.0,3,5315.315315315315
"Shahjahanpur, Dhaka",3 BHK,1650.0,3.0,110.0,3,6666.666666666667
"Ali And Nur Real Estate, Mohammadpur, Dhaka",4 Bedroom,3565.0,4.0,255.0,4,7152.875175315568
"Block D, Arambag Residential Area, Pallabi, Mirpur, Dhaka",3 BHK,1033.0,2.0,30.47,3,2949.6611810261375
"Arambag Residential Area, Mirpur, Dhaka",2 BHK,1142.0,2.0,65.0,2,5691.768826619965
"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,1500.0,2.0,75.0,3,5000.0
"Section 1, Mirpur, Dhaka",3 BHK,1502.0,3.0,50.0,3,3328.894806924101
"Block A, Bashundhara R-A, Dhaka",3 BHK,1176.0,2.0,45.0,3,3826.530612244898
"Block B, Section 12, Mirpur, Dhaka",2 BHK,1063.0,2.0,32.8,2,3085.6067732831602
"PC Culture Housing Society, Shyamoli, Dhaka",2 BHK,1100.0,2.0,60.0,2,5454.545454545455
"Block A, Section 2, Mirpur, Dhaka",2 Bedroom,1044.0,2.0,85.0,2,8141.762452107279
"Kathalbagan, Dhaka",3 Bedroom,5400.0,3.0,700.0,3,12962.962962962964
"Aainusbag, Dakshin Khan, Dhaka",2 BHK,1216.0,2.0,60.0,2,4934.210526315789
"Block C, Section 10, Mirpur, Dhaka",3 BHK,1425.0,3.0,55.0,3,3859.6491228070176
"Rupnagar R/A, Mirpur, Dhaka",8 Bedroom,1200.0,8.0,150.0,8,12500.0
"Rupnagar R/A, Mirpur, Dhaka",2 BHK,1345.0,2.0,108.0,2,8029.739776951673
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",2 BHK,1248.0,2.0,130.0,2,10416.666666666666
"Matikata, Cantonment, Dhaka",4 Bedroom,1830.0,4.0,325.0,4,17759.562841530056
"Kallyanpur, Mirpur, Dhaka",2 BHK,900.0,1.0,130.0,2,14444.444444444445
"Mirpur Road, New Market, Dhaka",4 Bedroom,3600.0,4.0,245.0,4,6805.555555555556
"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,1025.0,2.0,35.88,2,3500.4878048780492
"Madhya Ajampur, Dakshin Khan, Dhaka",2 Bedroom,840.0,1.0,99.0,2,11785.714285714286
"Rupnagar R/A, Mirpur, Dhaka",3 BHK,3050.0,2.0,90.0,3,2950.8196721311474
"Kafrul, Dhaka",3 BHK,1424.0,2.0,75.0,3,5266.853932584269
"Block C, Chandrima Model Town, Mohammadpur, Dhaka",3 BHK,2500.0,3.0,268.0,3,10720.0
"Avenue 5, Block C, Section 11, Mirpur, Dhaka",6 Bedroom,1200.0,6.0,230.0,6,19166.666666666668
"North Azampur, Dakshin Khan, Dhaka",2 BHK,1285.0,2.0,45.0,2,3501.9455252918287
"Ibrahimpur, Dhaka",2 BHK,1450.0,2.0,55.99,2,3861.3793103448274
"Mohammadpur, Dhaka",2 BHK,1160.0,2.0,70.0,2,6034.482758620689
"Block C, Section 10, Mirpur, Dhaka",3 Bedroom,2700.0,3.0,350.0,3,12962.962962962964
"South Kallyanpur, Kallyanpur, Mirpur, Dhaka",3 Bedroom,2000.0,2.0,95.0,3,4750.0
"Mirpur DOHS, Mirpur, Dhaka",2 BHK,1125.0,2.0,47.65,2,4235.555555555556
"PC Culture Housing, Mohammadpur, Dhaka",4 Bedroom,3900.0,4.0,175.0,4,4487.179487179487
"Shahidbag, Malibagh, Dhaka",2 BHK,1133.0,2.0,38.37,2,3386.5842894969105
"Kaderabad Housing Society, Katashur, Mohammadpur, Dhaka",2 BHK,1240.0,2.0,60.0,2,4838.709677419355
"Shah Ali Bag, Section 1, Mirpur, Dhaka",3 BHK,1466.0,3.0,77.59,3,5292.633015006822
"Middle Badda, Badda, Dhaka",4 BHK,3870.0,4.0,411.0,4,10620.15503875969
"Baridhara, Dhaka",3 BHK,1610.0,2.0,115.0,3,7142.857142857143
"Shah Ali Bag, Section 1, Mirpur, Dhaka",3 BHK,1220.0,3.0,56.0,3,4590.163934426229
"Shah Ali Bag, Section 1, Mirpur, Dhaka",2 BHK,1225.0,2.0,48.0,2,3918.3673469387754
"Shah Ali Bag, Section 1, Mirpur, Dhaka",2 BHK,1300.0,2.0,54.0,2,4153.846153846154
"South Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1996.0,4.0,123.0,3,6162.324649298597
"Mohammadpur, Dhaka",3 BHK,1320.0,2.0,55.0,3,4166.666666666667
"Kuril, Dhaka",3 BHK,1800.0,3.0,240.0,3,13333.333333333334
"Section 12, Mirpur, Dhaka",3 BHK,1835.0,3.0,175.0,3,9536.784741144415
