area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Bochila Garden City, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1410,3,2,65
Super built-up  Area,19-Jun,"West Nakhalpara, Tejgaon, Dhaka",3 BHK,N/A,1933,3,2,98
Super built-up  Area,Ready To Move,"New Eskaton, Eskaton, Dhaka",2 BHK,N/A,1200,2,2,45.6
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,1608,2,3,63
Plot  Area,Ready To Move,"Ibrahimpur, Dhaka",4 Bedroom,N/A,2679,5,2,280
Super built-up  Area,Ready To Move,"Malibagh, Dhaka",2 BHK,N/A,1156,2,2,46.9
Plot  Area,18-Mar,"Road No 12, Block B, Section 11, Mirpur, Dhaka",2 Bedroom,N/A,1230,2,0,75
Super built-up  Area,Ready To Move,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",1 BHK,N/A,770,1,1,43.82
Super built-up  Area,Ready To Move,"aziz Moholla, Mohammadpur, Dhaka",3 BHK,N/A,1777.26,3,2,105
Super built-up  Area,Ready To Move,"Karwan Bazar, Tejgaon, Dhaka",2 BHK,N/A,1339,2,2,85
Built-up  Area,18-Mar,"Kawlar, Dakshin Khan, Dhaka",3 Bedroom,N/A,3044,3,2,183
Built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",2 BHK,N/A,1080,2,2,44.8
Carpet  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",8 Bedroom,N/A,3150,5,2,145
Plot  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 Bedroom,N/A,2400,2,2,135
Built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 BHK,N/A,1450,3,3,72
Super built-up  Area,18-Mar,"Karwan Bazar, Tejgaon, Dhaka",2 BHK,N/A,1075,2,2,53
Super built-up  Area,Ready To Move,"West Dhanmondi, Dhanmondi, Dhaka",3 BHK,N/A,1163,2,2,62
Built-up  Area,Ready To Move,"Tallabag, Hazaribag, Dhaka",2 Bedroom,N/A,1200,2,0,65
Plot  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",8 Bedroom,N/A,1200,8,1,135
Plot  Area,Ready To Move,"North Bashabo, Bashabo, Dhaka",4 Bedroom,N/A,3090,4,,325
Built-up  Area,Ready To Move,"Lalmatia, Dhaka",2 BHK,N/A,1299,2,1,100
Built-up  Area,18-Dec,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1130,2,1,32.63
Super built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1170,2,2,75
Super built-up  Area,18-Mar,"Vhatara Road, Natun Bazar, Badda, Dhaka",3 BHK,N/A,1750 - 2640,,,152
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",4 BHK,N/A,2600,4,3,175
Super built-up  Area,Ready To Move,"North Pirerbag, Pirerbag, Section 1, Mirpur, Dhaka",2 BHK,N/A,1140,2,1,43.32
Super built-up  Area,Ready To Move,"Block A, Section 10, Mirpur, Dhaka",3 BHK,N/A,1900,3,3,125
Built-up  Area,18-Jul,"Ibrahimpur, Dhaka",2 BHK,N/A,1090,2,1,31.48
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1110,2,1,39.95
Super built-up  Area,18-Jan,"Cantonment, Dhaka",1 BHK,N/A,705,1,1,57
Super built-up  Area,Ready To Move,"Block C, Banasree, Dhaka",2 BHK,N/A,1089,2,1,60
Plot  Area,Ready To Move,"Jhilpar, Middle Pirerbag, Pirerbag, Mirpur, Dhaka",2 Bedroom,N/A,880,2,1,48
Built-up  Area,Ready To Move,"Malibag Bazar Rd, Malibagh, Dhaka",2 BHK,N/A,1080,2,2,32
Super built-up  Area,18-Feb,"Rajabazar, Tejgaon, Dhaka",2 BHK,N/A,1093,2,1,68.1
Super built-up  Area,18-Oct,"Mohammadpur, Dhaka",3 BHK,N/A,1480,3,1,75.48
Super built-up  Area,Ready To Move,"Bashundhara R-A, Dhaka",3 BHK,N/A,1703,3,2,125
Super built-up  Area,Ready To Move,"Sector 1, Block G, Aftab Nagar, Dhaka",2 BHK,N/A,1200,2,1,60
Super built-up  Area,Ready To Move,"Eskaton, Dhaka",3 BHK,N/A,1690,3,2,116
Super built-up  Area,Ready To Move,"Lalmatia, Dhaka",2 BHK,N/A,1305,2,1,78
Super built-up  Area,18-Sep,"Priyanka City, Sector 12, Uttara, Dhaka",3 BHK,N/A,1257,2,2,40.22
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",2 BHK,N/A,1150,2,2,45
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",2 BHK,N/A,1194,2,0,55
Built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",3 Bedroom,N/A,2000,3,1,90
Plot  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",3 Bedroom,N/A,1500,4,1,99
Built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",2 BHK,N/A,1025,2,0,42.5
Built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,980,2,1,38.19
Plot  Area,Ready To Move,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",3 Bedroom,N/A,1200,2,1,100
Super built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",3 BHK,N/A,2225,3,1,149
Super built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1022,2,2,57
Plot  Area,Ready To Move,"West Dhanmondi, Dhanmondi, Dhaka",4 Bedroom,N/A,882,3,0,72
Built-up  Area,Ready To Move,"Block K, Bashundhara R-A, Dhaka",2 BHK,N/A,1153,2,2,45
Super built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,1175,2,2,60
Built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",3 BHK,N/A,1560,3,3,68
Built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",1 BHK,N/A,650,1,1,17
Plot  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",3 Bedroom,N/A,600,3,2,65
Super built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1350,3,2,55
Plot  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 Bedroom,N/A,1200,2,1,76
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",2 BHK,N/A,1200,1,1,54
Super built-up  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",2 BHK,N/A,800,2,1,25
Super built-up  Area,20-Dec,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",4 BHK,N/A,2093,4,1,104
Super built-up  Area,18-Oct,"Block J, Bashundhara R-A, Dhaka",3 BHK,N/A,1320,2,2,55.44
Super built-up  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",2 BHK,N/A,1275,2,1,73
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",2 BHK,N/A,1215,2,2,43.13
Super built-up  Area,Ready To Move,"Block I, Bashundhara R-A, Dhaka",2 BHK,N/A,1130,2,1,45.2
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1444,2,2,71.5
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,950,2,2,38
Super built-up  Area,Ready To Move,"Nadda, Dhaka",2 BHK,N/A,1000,1,,90
Super built-up  Area,Ready To Move,"Section 12, Mirpur, Dhaka",3 BHK,N/A,1240,2,2,59.52
Plot  Area,Ready To Move,"Section 12, Mirpur, Dhaka",4 Bedroom,N/A,600,4,2,125
Super built-up  Area,Ready To Move,"Section 12, Mirpur, Dhaka",2 BHK,N/A,1231,2,2,50
Super built-up  Area,Ready To Move,"Section 12, Mirpur, Dhaka",2 BHK,N/A,1300,2,1,120
Super built-up  Area,18-Aug,"Kalachandpur, Dhaka",3 BHK,N/A,1713,3,2,110
Super built-up  Area,Ready To Move,"Kalachandpur, Dhaka",2 BHK,N/A,1200,2,1,53.33
Built-up  Area,Ready To Move,"West Kalachandpur, Kalachandpur, Dhaka",3 Bedroom,N/A,3004,4,,158
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1310,2,0,46
Super built-up  Area,Ready To Move,"East Merul Badda, Merul Badda, Badda, Dhaka",2 BHK,N/A,790,2,1,49.5
Super built-up  Area,Ready To Move,"East Merul Badda, Merul Badda, Badda, Dhaka",3 BHK,N/A,1744,3,1,200
Super built-up  Area,Ready To Move,"Kadamtala, Bashabo, Dhaka",3 BHK,N/A,1605,3,2,100
Super built-up  Area,Ready To Move,"Lalbagh, Dhaka",2 BHK,N/A,1250,2,2,82
Super built-up  Area,Ready To Move,"Block E, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",3 BHK,N/A,2476,3,3,337
Built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",3 BHK,N/A,1260,2,2,76
Super built-up  Area,18-Aug,"Kalachandpur, Dhaka",3 BHK,N/A,1615,3,1,175
Super built-up  Area,Ready To Move,"Block E, Section 1, Mirpur, Dhaka",2 BHK,N/A,1180,2,1,56
Super built-up  Area,Ready To Move,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3 BHK,N/A,1255,2,2,50.19
Super built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1025,2,1,53.9
Super built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",3 BHK,N/A,1877,4,2,150
Built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1649,3,2,150
Plot  Area,Ready To Move,"Tejgaon, Dhaka",9 Bedroom,N/A,2600,12,,675
Built-up  Area,Ready To Move,"Dhanmondi, Dhaka",5 Bedroom,N/A,2500,5,2,125
Built-up  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",3 BHK,N/A,1542,3,2,98
Super built-up  Area,Ready To Move,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1418,2,2,105
Built-up  Area,Ready To Move,"New Eskaton, Eskaton, Dhaka",2 BHK,N/A,1012,2,0,42
Plot  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 Bedroom,N/A,1200,2,1,65
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,1115,2,2,43
Super built-up  Area,Ready To Move,"West Rampura, Rampura, Dhaka",3 BHK,N/A,1680,4,3,95
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,1171,2,2,72
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1027,2,1,68.62
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",3 BHK,N/A,1700,3,3,75
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1090,2,2,38.15
Super built-up  Area,18-Jan,"Shantibag, Malibagh, Dhaka",2 BHK,N/A,1232,2,1,74
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,766,2,2,28
Plot  Area,Ready To Move,"Goran, Khilgaon, Dhaka",5 Bedroom,N/A,1200,5,0,180
Super built-up  Area,21-Dec,"Baridhara DOHS, Dhaka",1 BHK,N/A,525,1,1,27
Super built-up  Area,18-Aug,"West Agargaon, Agargaon, Dhaka",3 BHK,N/A,142.61Sq. Meter,3,1,109
Built-up  Area,Ready To Move,"aziz Moholla, Mohammadpur, Dhaka",3 BHK,N/A,1452,2,1,41
Super built-up  Area,Ready To Move,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",3 BHK,N/A,1254,2,1,65
Built-up  Area,Ready To Move,"Sector 2, Block F, Aftab Nagar, Dhaka",5 Bedroom,N/A,3600,5,0,110
Super built-up  Area,19-Jul,"Sector 2, Block H, Aftab Nagar, Dhaka",3 BHK,N/A,1593,3,1,118
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",2 BHK,N/A,1333,2,2,77.27
Built-up  Area,Ready To Move,"Sector 2, Block F, Aftab Nagar, Dhaka",3 Bedroom,N/A,1100,3,1,110
Super built-up  Area,Ready To Move,"West Rampura, Rampura, Dhaka",3 BHK,N/A,1375,2,1,54.99
Super built-up  Area,Ready To Move,"Middle Badda, Badda, Dhaka",3 BHK,N/A,1650,3,3,82
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",3 BHK,N/A,1430,2,2,51.48
Built-up  Area,Ready To Move,"Sector 1, Block F, Aftab Nagar, Dhaka",2 BHK,N/A,940,2,1,54
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",1 BHK,N/A,435,1,1,21
Super built-up  Area,Ready To Move,"Block G/1, Section 2, Mirpur, Dhaka",2 BHK,N/A,1160,2,2,36.54
Super built-up  Area,18-Mar,"Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1500,2,1,77.5
Super built-up  Area,Ready To Move,"Block G, Section 1, Mirpur, Dhaka",3 BHK,N/A,1890,2,1,100
Built-up  Area,Ready To Move,"West Rampura, Rampura, Dhaka",2 BHK,N/A,1050,2,1,70
Plot  Area,Ready To Move,"Sector 14, Uttara, Dhaka",6 Bedroom,N/A,1200,6,3,220
Super built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1027,2,2,43
Super built-up  Area,18-Dec,"East Bashabo, Bashabo, Dhaka",3 BHK,N/A,1390 - 1600,,,61.28
Plot  Area,Ready To Move,"East Bashabo, Bashabo, Dhaka",3 Bedroom,N/A,3000,4,2,235
Super built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",3 BHK,N/A,1459,2,1,95
Super built-up  Area,21-Mar,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,N/A,1711,3,3,85.61
Super built-up  Area,22-Jun,"Eskaton, Dhaka",2 BHK,N/A,1250,2,2,98
Super built-up  Area,18-Sep,"Sector 11, Uttara, Dhaka",1 BHK,N/A,645,1,1,16.45
Plot  Area,Ready To Move,"Nadda, Dhaka",2 Bedroom,N/A,875,2,1,57
Built-up  Area,18-Feb,"Middle Badda, Badda, Dhaka",2 BHK,N/A,1334,2,1,67
Built-up  Area,18-Dec,"Sector 14, Uttara, Dhaka",2 BHK,N/A,1140,2,1,32.92
Super built-up  Area,Ready To Move,"Sector 2, Block F, Aftab Nagar, Dhaka",2 BHK,N/A,1115,2,2,50
Plot  Area,Ready To Move,"Middle Badda, Badda, Dhaka",3 Bedroom,N/A,1200,5,2,200
Super built-up  Area,18-Aug,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",3 BHK,N/A,1776,3,1,190
Super built-up  Area,Ready To Move,"Kuril, Dhaka",3 BHK,N/A,2072,4,2,160
Plot  Area,Ready To Move,"Kuril, Dhaka",3 Bedroom,N/A,1600,3,2,170
Plot  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",6 Bedroom,N/A,1200,4,2,115
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,920,2,3,39
Super built-up  Area,19-Feb,"East Bashabo, Bashabo, Dhaka",2 BHK,N/A,598 - 958,2,0,25.29
Plot  Area,Ready To Move,"Section 1, Mirpur, Dhaka",4 Bedroom,N/A,1310,3,3,95
Super built-up  Area,Ready To Move,"East Rampura, Rampura, Dhaka",3 BHK,N/A,1631,3,2,80
Super built-up  Area,21-Dec,"Block D, Bashundhara R-A, Dhaka",1 BHK,N/A,525,1,1,27.5
Built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1395,3,3,82
Super built-up  Area,Ready To Move,"Maghbazar, Dhaka",3 BHK,N/A,2000,3,2,105
Super built-up  Area,18-Jul,"Sector 12, Uttara, Dhaka",2 BHK,N/A,1232,2,1,66
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1075,2,1,55
Super built-up  Area,Ready To Move,"Eskaton, Dhaka",2 BHK,N/A,1205,2,2,70
Plot  Area,Ready To Move,"Middle Badda, Badda, Dhaka",4 Bedroom,N/A,1200,4,2,165
Super built-up  Area,Ready To Move,"Nikunja 2, Nikunja, Dhaka",4 BHK,N/A,2340,5,1,129
Super built-up  Area,Ready To Move,"Sector 10, Uttara, Dhaka",3 BHK,N/A,1179,2,1,55
Super built-up  Area,Ready To Move,"Rampura, Dhaka",2 BHK,N/A,1013,2,1,51
Super built-up  Area,Ready To Move,"East Bashabo, Bashabo, Dhaka",2 BHK,N/A,1160,2,2,40.6
Plot  Area,Ready To Move,"Eskaton, Dhaka",8 Bedroom,N/A,1500Cents,6,2,290
Super built-up  Area,Ready To Move,"Kathalbagan, Dhaka",2 BHK,N/A,1200,2,2,62.5
Plot  Area,Ready To Move,"Kathalbagan, Dhaka",7 Bedroom,N/A,1200,5,0,80
Super built-up  Area,Ready To Move,"South Goran, Goran, Khilgaon, Dhaka",3 BHK,N/A,1255,2,3,50.19
Built-up  Area,Ready To Move,"Sector 2, Block E, Aftab Nagar, Dhaka",3 BHK,N/A,1100,2,1,145
Built-up  Area,Ready To Move,"South Goran, Khilgaon, Dhaka",2 BHK,N/A,1069,2,1,55
Plot  Area,Ready To Move,"Kathalbagan, Dhaka",3 Bedroom,N/A,1200,3,2,99
Super built-up  Area,Ready To Move,"Eskaton, Dhaka",1 BHK,N/A,1400,1,1,285
Super built-up  Area,Ready To Move,"Tejkunipara, Tejgaon, Dhaka",2 BHK,N/A,1065,2,2,55
Built-up  Area,Ready To Move,"Section 10, Mirpur, Dhaka",2 BHK,N/A,1395,2,0,75
Built-up  Area,Ready To Move,"Taltola, Agargaon, Dhaka",3 BHK,N/A,1725,2,1,165
Built-up  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",2 BHK,N/A,1007,2,2,43
Built-up  Area,Ready To Move,"Block D, Banasree, Dhaka",3 BHK,N/A,1436,2,2,55
Super built-up  Area,Ready To Move,"Block D, Banasree, Dhaka",6 BHK,N/A,4250,6,3,150
Super built-up  Area,19-Jun,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1645,3,2,117
Plot  Area,Ready To Move,"Namapara, Khilkhet, Dhaka",2 Bedroom,N/A,1200,2,0,58
Super built-up  Area,19-Apr,"Kawlar, Dakshin Khan, Dhaka",2 BHK,N/A,940,2,1,43.61
Built-up  Area,Ready To Move,"Kalachandpur, Dhaka",6 Bedroom,N/A,4300,6,2,175
Super built-up  Area,20-Dec,"Dhanmondi, Dhaka",3 BHK,N/A,2850,5,3,343
Built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",3 BHK,N/A,1740,3,2,191
Super built-up  Area,18-May,"Tejgaon, Dhaka",2 BHK,N/A,1194,2,2,47
Super built-up  Area,Ready To Move,"Tejgaon, Dhaka",3 BHK,N/A,3761,3,2,650
Super built-up  Area,Ready To Move,"Manikdi, Cantonment, Dhaka",3 BHK,N/A,1829,3,2,125
Plot  Area,Ready To Move,"Malibagh Chowdhury Para, Malibagh, Dhaka",4 Bedroom,N/A,1800,4,3,178
Super built-up  Area,Ready To Move,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",2 BHK,N/A,1000,2,1,60
Built-up  Area,Ready To Move,"Hazaribag, Dhaka",3 Bedroom,N/A,5720,3,0,350
Plot  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",5 Bedroom,N/A,800,4,2,98
Super built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,675,1,1,15
Super built-up  Area,Ready To Move,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",2 BHK,N/A,1390,2,2,95
Super built-up  Area,Ready To Move,"West Rampura, Rampura, Dhaka",3 BHK,N/A,1500,3,2,104
Super built-up  Area,21-Jun,"West Kafrul, Taltola, Agargaon, Dhaka",3 BHK,N/A,2047,3,2,136
Super built-up  Area,Ready To Move,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1202,2,1,79
Super built-up  Area,Ready To Move,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1012,2,1,59
Super built-up  Area,Ready To Move,"Block F, Banasree, Dhaka",3 BHK,N/A,2132,3,3,80
Plot  Area,Ready To Move,"Kawlar, Dakshin Khan, Dhaka",4 Bedroom,N/A,1350,4,3,340
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",1 BHK,N/A,605,1,1,40
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1331,2,1,88
Plot  Area,18-May,"Dhanmondi, Dhaka",2 Bedroom,N/A,1200,2,0,69
Built-up  Area,Ready To Move,"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,N/A,1150,2,0,250
Plot  Area,Ready To Move,"Agargaon, Dhaka",2 Bedroom,N/A,1200,2,1,136
Built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",2 Bedroom,N/A,1800,2,0,300
Plot  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",3 Bedroom,N/A,600,2,1,50
Super built-up  Area,Ready To Move,"Shantibag, Malibagh, Dhaka",3 BHK,N/A,1280,2,2,49
Super built-up  Area,Ready To Move,"Agargaon, Dhaka",2 BHK,N/A,1007,2,1,62
Super built-up  Area,18-May,"Taltola, Dhaka",3 BHK,N/A,1370,2,1,61
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,925,2,2,35
Super built-up  Area,Ready To Move,"Amligola, Lalbagh, Dhaka",2 BHK,N/A,1500,2,0,75
Built-up  Area,Ready To Move,"Agargaon, Dhaka",1 BHK,N/A,450,1,1,12.5
Built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",4 Bedroom,N/A,1200,4,1,140
Super built-up  Area,19-Mar,"Dhanmondi, Dhaka",2 BHK,N/A,1341,2,1,95
Super built-up  Area,Ready To Move,"Malibagh, Dhaka",3 BHK,N/A,1350,2,2,47.25
Super built-up  Area,Ready To Move,"Taltola, Agargaon, Dhaka",2 BHK,N/A,992,2,1,60
Super built-up  Area,Ready To Move,"Block A, Bashundhara R-A, Dhaka",2 BHK,N/A,1163,2,2,68
Super built-up  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",2 BHK,N/A,1229,2,2,70
Plot  Area,Ready To Move,"East Rampura, Rampura, Dhaka",2 Bedroom,N/A,600,2,2,39
Super built-up  Area,Ready To Move,"Block Ka, North Bishil, Section 1, Mirpur, Dhaka",2 BHK,N/A,1219,2,1,61.26
Super built-up  Area,Ready To Move,"New Eskaton, Eskaton, Dhaka",3 BHK,N/A,1525,2,2,99.13
Super built-up  Area,20-Jun,"Nayatola, Maghbazar, Dhaka",2 BHK,N/A,1147,2,1,60
Super built-up  Area,Ready To Move,"East Bashabo, Bashabo, Dhaka",3 BHK,N/A,1412,2,3,88
Plot  Area,Ready To Move,"Block C, Banasree, Dhaka",9 Bedroom,N/A,1200,9,3,215
Super built-up  Area,19-Jun,"Block F, Section 1, Mirpur, Dhaka",2 BHK,N/A,1044,2,1,34.77
Super built-up  Area,Ready To Move,"West Nakhalpara, Tejgaon, Dhaka",2 BHK,N/A,1190,2,2,63
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",3 BHK,N/A,1240,2,2,65
Super built-up  Area,Ready To Move,"Section 10, Mirpur, Dhaka",3 BHK,N/A,1352,3,1,65
Built-up  Area,Ready To Move,"Sector 2, Block H, Aftab Nagar, Dhaka",2 BHK,N/A,1100,2,2,55
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",3 BHK,N/A,1330,2,2,39.9
Super built-up  Area,20-Nov,"Joar Sahara, Dhaka",3 BHK,N/A,1700,3,2,111
Super built-up  Area,18-Apr,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1355,2,1,67
Super built-up  Area,18-Nov,"Joar Sahara, Dhaka",2 BHK,N/A,1200,2,1,46
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",1 BHK,N/A,400,2,1,25
Built-up  Area,Ready To Move,"Joar Sahara, Dhaka",2 BHK,N/A,1342,2,,70
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",3 BHK,N/A,1615,3,2,50.87
Super built-up  Area,Ready To Move,"East Goran, Goran, Khilgaon, Dhaka",2 BHK,N/A,1340,2,1,65
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",2 BHK,N/A,1200,2,1,54
Built-up  Area,Ready To Move,"Bashabo, Dhaka",1 Bedroom,N/A,400,1,0,55
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",2 BHK,N/A,1080,2,1,52
Super built-up  Area,Ready To Move,"Block D, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1600,2,1,31
Super built-up  Area,Ready To Move,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1200,2,0,34
Plot  Area,17-Apr,"Manikdi, Cantonment, Dhaka",3 Bedroom,N/A,2700,3,2,150
Built-up  Area,Ready To Move,"Manikdi, Cantonment, Dhaka",3 Bedroom,N/A,1780,3,0,110
Built-up  Area,Ready To Move,"Manikdi, Cantonment, Dhaka",3 BHK,N/A,1605,3,2,65
Super built-up  Area,17-Sep,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",4 BHK,N/A,7200,5,2,1584
Plot  Area,Ready To Move,"Block C, Banasree, Dhaka",3 Bedroom,N/A,646,2,1,65
Super built-up  Area,Ready To Move,"Bochila, Mohammadpur, Dhaka",2 BHK,N/A,1200,2,2,80
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",2 Bedroom,N/A,900,2,0,49
Built-up  Area,19-Dec,"Moushair, Dakshin Khan, Dhaka",3 Bedroom,N/A,1830,3,1,88
Plot  Area,Ready To Move,"Joar Sahara, Dhaka",5 Bedroom,N/A,690,4,1,83
Built-up  Area,Ready To Move,"Block L, Bashundhara R-A, Dhaka",1 BHK,N/A,650,1,3,500
Plot  Area,Ready To Move,"Block C, Banasree, Dhaka",5 Bedroom,N/A,1800,4,1,68
Built-up  Area,Ready To Move,"Sector 12, Uttara, Dhaka",3 BHK,N/A,715,2,0,32
Super built-up  Area,18-Sep,"Eskaton, Dhaka",3 BHK,N/A,1230,2,2,31.37
Super built-up  Area,Ready To Move,"Gulshan 2, Gulshan, Dhaka",2 BHK,N/A,1065,2,1,42.59
Plot  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",8 Bedroom,N/A,1350,8,2,185
Plot  Area,Ready To Move,"Shantipur, South Goran, Goran, Khilgaon, Dhaka",3 Bedroom,N/A,1080,3,2,149
Built-up  Area,Ready To Move,"Sector 2, Block E, Aftab Nagar, Dhaka",3 BHK,N/A,900,2,0,65
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",2 BHK,N/A,946,2,2,45
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",1 BHK,N/A,1500,1,0,60
Super built-up  Area,18-May,"Shantipur, South Goran, Goran, Khilgaon, Dhaka",3 BHK,N/A,1711,3,1,110
Plot  Area,Ready To Move,"Senpara Parbata, Section 10, Mirpur, Dhaka",4 Bedroom,N/A,1200,3,2,160
Super built-up  Area,18-Aug,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,950,2,1,25.65
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1656,3,2,80
